,,,a,,,,
Region code,Region label,Commodity code,Commodity description, Estimate , Estimate - Relative Standard Error (Percent) , Number of agricultural businesses , Number of agricultural businesses - Relative Standard Error (Percent) 
3,Queensland,AGWATSCRVCHAML_F,"Water source - Water taken from rivers, creeks, lakes, etc. - Where a volumetric/usage charge occurs - Total volume used (ML)","484,609",,909,
3,Queensland,AGWATSCRVNCAML_F,"Water source - Water taken from rivers, creeks, lakes, etc. - Where there is no volumetric/usage charge - Total volume used (ML)","129,281",,529,
3,Queensland,AGWATSRCAMLGRN_F,"Water source - Groundwater (e.g. bores, springs, wells) - Total volume used (ML)","526,116",,"2,309",
3,Queensland,AGWATSRCAMLREC_F,"Water source - Recycled/re-used water from off-farm sources (e.g. re-use schemes, mines) - Total volume used (ML)","33,671",,171,
3,Queensland,AGWATSRCAMLMNS_F,Water source - Town or reticulated mains supply - Total volume used (ML),798,^,79,
3,Queensland,AGWATSRCAMLOTH_F,Water source - Other sources of water (excluding rainfall) - Total volume used (ML),463,^,6,^
3,Queensland,AGWATRPRODAHA_F,Water use - Total area watered (ha),"446,180",,"4,808",
3,Queensland,AGWATRPRODAML_F,Water use - Total volume applied (ML),"1,966,711",,"4,808",
3,Queensland,Watapp_tarea_rate_F,Water use - Total application rate (ML/ha),4.4,,..,
3,Queensland,AGLANDGRAZEHA_F,Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Total area grown (ha),"125,654,912",,"13,150",
3,Queensland,AGWATRPACRAHAGRZ_F,Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Area watered (ha),"30,454",,762,
3,Queensland,AGWATRPACRAMLGRZ_F,Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Volume applied (ML),"74,184",,762,
3,Queensland,Watapp_Pastcer_grz_rate_F,Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Application rate (ML/ha),2.4,,..,
3,Queensland,AGPASCRHAYSILAHA_F,"Water use - Pastures (including lucerne), cereal and other crops cut for hay and silage - Total area grown (ha)","126,721",,"2,356",
3,Queensland,AGWATRPHAYSILAHA_F,Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Area watered (ha),"36,838",,949,
3,Queensland,AGWATRPHAYSILAML_F,Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Volume applied (ML),"136,201",,949,
3,Queensland,Watapp_Hay_silage_rate_F,Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Application rate (ML/ha),3.7,,..,
3,Queensland,AGVEGE_AHA_F,Water use - Vegetables - Total area grown (ha),"39,109",,833,
3,Queensland,AGWATRVEGEAHA_F,Water use - Vegetables - Area watered (ha),"32,584",,635,
3,Queensland,AGWATRVEGEAML_F,Water use - Vegetables - Volume applied (ML),"108,442",,635,
3,Queensland,Watapp_Vegies_rate_F,Water use - Vegetables - Application rate (ML/ha),3.3,,..,
3,Queensland,AGFRUT_AHA_F,"Water use - Fruit trees, nut trees, plantation or berry fruits - Total area grown (ha)","61,740",,"1,418",
3,Queensland,AGWATRFRUTAHA_F,"Water use - Fruit trees, nut trees, plantation or berry fruits - Area watered (ha)","52,701",,"1,047",
3,Queensland,AGWATRFRUTAML_F,"Water use - Fruit trees, nut trees, plantation or berry fruits - Volume applied (ML)","206,217",,"1,047",
3,Queensland,Watapp_Fruit_rate_F,"Water use - Fruit trees, nut trees, plantation or berry fruits - Application rate (ML/ha)",3.9,,..,
3,Queensland,AGGRAPE_AHA_F,Water use - Grapevines - Total area grown (ha),"1,871",,55,
3,Queensland,AGWATRGRAPAHA_F,Water use - Grapevines - Area watered (ha),"1,523",,37,
3,Queensland,AGWATRGRAPAML_F,Water use - Grapevines - Volume applied (ML),"6,899",,37,
3,Queensland,Watapp_Grapevines_rate_F,Water use - Grapevines - Application rate (ML/ha),4.5,,..,
3,Queensland,AGNURFLWTUAHA_F,"Water use - Nurseries, cut flowers and cultivated turf - Total area grown (ha)","3,048",,400,
3,Queensland,AGWATRNURSAHA_F,"Water use - Nurseries, cut flowers and cultivated turf - Area watered (ha)","2,513",,296,
3,Queensland,AGWATRNURSAML_F,"Water use - Nurseries, cut flowers and cultivated turf - Volume applied (ML)","11,377",,296,
3,Queensland,Watapp_Nurseries_rate_F,"Water use - Nurseries, cut flowers and cultivated turf - Application rate (ML/ha)",4.5,,..,
3,Queensland,AGCEREAL_AHARIC_F,Water use - Rice - Total area grown (ha),699,,8,^
3,Queensland,AGWATROCRPAHARIC_F,Water use - Rice - Area watered (ha),699,,8,^
3,Queensland,AGWATROCRPAMLRIC_F,Water use - Rice - Volume applied (ML),"3,798",,8,^
